code,name,total_mv_start,total_mv_end,mv_ratio,total_share_start,total_share_end,share_ratio,close_start,close_end,adj_price_ratio,raw_close_start,raw_close_end,raw_price_ratio
300870,欧陆通,431415.6,5441738.5291,12.613680472147971,10120.0,15264.3437,1.50833435770751,43.514,502.3622,11.54484074091097,42.63,356.5,8.362655406990381
603618,杭电股份,291069.1343,3651154.5436,12.543942704130275,69137.5616,69137.5616,1.0,14.39,161.0664,11.192939541348156,4.21,52.81,12.54394299287411
300476,胜宏科技,2684687.0508,33237781.936,12.380505178842204,86268.8641,98278.4813,1.1392114910204316,146.908,1538.7727,10.474396901462141,31.12,338.2,10.867609254498714
003036,泰坦股份,161352.5236,1972577.568,12.225266292643223,21600.0701,21629.1338,1.0013455372998998,8.191,92.1192,11.246392381882554,7.47,91.2,12.208835341365463
300903,科翔股份,398936.034,4794912.2183,12.019250731058303,41469.4422,43538.6563,1.0498973217440577,17.467,198.4716,11.362661017919505,9.62,110.13,11.448024948024948
002713,*ST东易,88102.7658,1044642.9096,11.857095519241918,41953.698,95140.5184,2.2677504710073473,14.18,55.3192,3.9012129760225673,2.1,10.98,5.228571428571429
002842,翔鹭钨业,134529.4737,1582860.555,11.765901638251929,27624.1219,32717.2422,1.1843722062347257,14.125,133.0014,9.41602831858407,4.87,48.38,9.93429158110883
688048,长光华芯,594239.6879,6911053.4795,11.63007725707982,17627.9943,17627.9943,1.0,44.673,510.6618,11.43110603720368,33.71,392.05,11.63008009492732
002718,友邦吊顶,130527.6942,1514798.495,11.60518849493321,13144.7829,12944.7829,0.9847848380972499,29.719,287.1973,9.663760557219286,9.93,117.02,11.784491440080563
688627,精智达,448906.1254,5167638.18,11.511623227228966,9401.1754,9412.8154,1.001238143051772,47.75,550.3744,11.526165445026178,47.75,549.0,11.497382198952879
300489,光智科技,290489.6819,3328097.9448,11.456854243606784,13767.2835,13915.7835,1.010786441638977,63.519,717.748,11.299737086541036,21.1,239.16,11.334597156398104
603629,利通电子,464082.19,5297027.76,11.41398630272797,25883.0,26232.0,1.0134837538152455,36.307,397.6647,10.952838295645467,17.93,201.93,11.262130507529282
002428,云南锗业,640710.72,7308412.8,11.406727828746178,65312.0,65312.0,1.0,52.28,583.4501,11.160101377199695,9.81,111.9,11.406727828746178
688143,长盈通,256986.2946,2910446.08,11.325296878302863,12237.4426,12878.0802,1.0523506112298333,27.8,,,21.0,226.0,10.761904761904763
000506,招金黄金,111482.1313,1257890.1012,11.283333809029896,92901.7761,92901.7761,1.0,3.15,43.084,13.67746031746032,1.2,13.54,11.283333333333333
920725,惠丰钻石,91512.0,1031407.5,11.270734985575663,9225.0,9127.5,0.989430894308943,,,,,,
000908,ST景峰,86217.8864,967751.84,11.224490420818295,87977.4351,175954.8702,2.0,3.146,22.6412,7.196821360457725,0.98,5.5,5.612244897959184
688195,腾景科技,322340.2,3600069.2,11.168539325842696,12935.0,18109.0,1.4,25.355,279.2285,11.01275882468941,24.92,198.8,7.97752808988764
601208,东材科技,663509.0859,7258164.1365,10.93905764177268,91771.6578,101018.2943,1.1007569953694352,21.889,190.5508,8.70532230800859,7.23,71.85,9.937759336099584
001267,汇绿生态,441237.4282,4817770.5992,10.91877137180721,77957.1428,78516.4678,1.0071747755229428,5.83,61.6896,10.581406518010292,5.66,61.36,10.840989399293285
000973,佛塑科技,349239.7647,3800434.0928,10.882019967183881,96742.3171,245823.6766,2.5410149763717,13.992,54.1172,3.8677244139508287,3.61,15.46,4.282548476454294
301526,国际复材,1327349.0729,14423608.35,10.866477134373715,377087.8048,377087.8048,1.0,3.52,38.2903,10.877926136363637,3.52,38.25,10.866477272727273
603186,华正新材,337878.2172,3631267.98,10.747268675951803,14202.5312,15679.0518,1.1039617923881062,25.27,233.7896,9.251666007123072,23.79,231.6,9.73518284993695
300277,汽轮科技,212725.0,2261241.9522,10.629883427899872,33500.0,151659.4157,4.5271467373134335,33.795,78.2917,2.316665187157864,6.35,14.91,2.348031496062992
603389,*ST亚振,147141.12,1558119.36,10.589285714285715,26275.2,26275.2,1.0,6.963,71.4025,10.254559816171191,5.6,59.3,10.589285714285715
603115,海星股份,252116.8,2664906.5368,10.570126769814626,23920.0,24189.04,1.0112474916387961,13.54,115.1822,8.506809453471197,10.54,110.17,10.452561669829223
603608,天创时尚,95274.0036,1003169.518,10.529309991125428,41970.9267,41973.6181,1.0000641253413163,4.949,35.0639,7.08504748434027,2.27,23.9,10.528634361233479
300857,协创数据,1426894.4394,14998975.95,10.511622679184995,24525.5146,48936.304,1.9953222102830006,58.472,602.1938,10.29884047065262,58.18,306.5,5.268133379168099
688025,杰普特,381148.1862,4003480.728,10.503738107517197,9504.9423,9504.9423,1.0,41.35,424.0024,10.253987908101573,40.1,421.2,10.503740648379052
300620,光库科技,913266.5516,9581492.4312,10.491452264854852,24979.9385,24918.0545,0.9975226520273458,83.885,868.2637,10.35064314239733,36.56,384.52,10.517505470459518
600869,远东股份,763457.3446,8007424.5416,10.488371875962958,221935.2746,221935.2746,1.0,37.673,352.2879,9.351203779895414,3.44,36.08,10.488372093023255
688256,寒武纪,8594760.1186,88777800.9,10.329293624830221,41659.4451,62829.2969,1.5081645170545013,206.31,2107.0792,10.213170471620378,206.31,1413.0,6.848916678784353
688766,普冉股份,1015965.6507,10453863.08,10.289583188956527,10560.9735,14870.3553,1.408047780822478,281.524,2872.8904,10.20477969906651,96.2,703.0,7.3076923076923075
688205,德科立,354820.4414,3614691.25,10.187381639393902,12089.2825,15923.7488,1.317178980638429,36.04,355.7461,9.870868479467259,29.35,227.0,7.734241908006814
002491,通鼎互联,407128.1795,4142621.476,10.175226586102719,122999.45,122999.45,1.0,14.502,133.5756,9.21083988415391,3.31,33.68,10.175226586102719
603083,剑桥科技,871940.1088,8777984.1412,10.067187015035499,26804.1841,36825.0373,1.3738540655673233,71.95,526.3523,7.315528839471855,32.53,238.37,7.327697509990777
688668,鼎通科技,549508.1278,5499099.641,10.007312654347967,13872.9646,13927.0606,1.0038993828327076,57.754,556.3725,9.633488589534924,39.61,394.85,9.968442312547337
301511,德福科技,886863.054,8829550.576,9.95593461265103,63032.2,63032.2,1.0,19.753,196.3085,9.938161291955653,14.07,140.08,9.955934612651031
605376,博迁新材,588861.6,5859840.0,9.9511328298534,26160.0,26160.0,1.0,23.29,225.8097,9.695564620008588,22.51,224.0,9.951132829853398
688521,芯原股份,1534727.4822,14988586.05,9.766285040073807,49991.1232,52591.5273,1.0520173169463813,30.7,291.8845,9.507638436482084,30.7,285.0,9.283387622149837
300502,新易盛,7887200.3789,76962969.84,9.75795797529031,70991.9026,139425.6684,1.9639657946003548,918.727,8927.4421,9.717187042505554,111.1,552.0,4.968496849684969
300604,长川科技,1845877.4134,17725656.0752,9.602834915537734,62678.3502,63441.8614,1.012181418265856,204.079,1921.6626,9.416268209859908,29.45,279.4,9.487266553480476
300835,龙磁科技,293259.299,2794089.1097,9.52770847924587,12013.9,11924.754,0.992579761775943,42.732,401.2725,9.390445099691098,24.41,234.31,9.598934862761164
300972,万辰集团,362904.8771,3451759.3312,9.511471322136167,17719.9647,19733.3568,1.1136228053546857,20.7,176.5698,8.529942028985507,20.48,174.92,8.541015625
300475,香农芯创,1401066.3786,13311979.5718,9.501319691292462,45756.5767,46954.1767,1.0261732866917033,69.098,648.1192,9.379709977133926,30.62,283.51,9.258981058131939
002364,中恒电气,298125.8638,2826842.04,9.482042262178261,56356.496,56356.496,1.0,36.708,307.2786,8.370889179470415,5.29,50.16,9.482041587901701
000510,新金路,166306.7553,1562990.076,9.398235647015836,60918.2254,64854.3589,1.0646133972904601,33.903,336.0328,9.911594844114092,2.73,24.1,8.827838827838828
603991,领先股份,218760.2191,2039438.0435,9.322709823067644,7453.4998,15270.971,2.0488322814471664,29.61,133.8442,4.520236406619386,29.35,133.55,4.550255536626917
300308,中际旭创,15719875.6227,146096860.9347,9.29376697635772,112116.6509,111523.4641,0.9947091997911258,890.956,8289.1919,9.303705121240554,140.21,1310.01,9.343199486484558
600172,黄河旋风,265361.9436,2444502.7275,9.211956674483748,144218.4476,144218.4476,1.0,15.867,147.816,9.315938740782757,1.84,16.95,9.211956521739129
